Crystal,Crystal
Hash,ハッシュ,Hash
Array,配列,Array
compiler,コンパイラ
invoke,呼び出し,実行
directory,ディレクトリ
standard library,標準ライブラリ
compile-time error,コンパイルエラー
nested,ネストされた,階層的な
low-level,ローレベル
type,型
pointer,ポインタ
named argument,名前付き引数
unsafe,安全でない,unsafe
buffer,バッファ
allocate,割り当て
exception,例外
raise,発生
rescue,捕捉
generic type,ジェネリック型
type restriction,型制約
type grammer,型文法
operator, 演算子
receiver,レシーバ
cross compilation,クロスコンパイル
derived class,派生クラス
override,オーバーライド
virtual,virtual
abstract,abstract
include,インクルード,include
garbage-collect,ガベージコレクト
standard library,標準ライブラリ
partial type,部分的な型
ancestor,先祖,ancestor
parent,親
generics,ジェネリクス
type variable,型変数
type argument,型引数
constructor,コンストラクタ
delegate,委譲,delegate
capture,捕捉
closure,クロージャ
attribute,属性,アトリビュート
captured block,捕捉されたブロック
non-captured block,捕捉されないブロック
annotate,アノテーションを与える
callback,コールバック
call convention,呼出規約
cast,キャスト
ancestors chain,継承チェーン
subtype,派生型
linker,リンカ
documentation comment,ドキュメンテーションコメント
